INFO 2024-09-10 08:32:38,094 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-10 08:32:41,079 core Successfully imported extension module "markdown.extensions.toc".
DEBUG 2024-09-10 08:32:41,081 core Successfully loaded extension "markdown.extensions.toc.TocExtension".
INFO 2024-09-10 09:16:50,362 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-10 09:16:52,889 core Successfully imported extension module "markdown.extensions.toc".
DEBUG 2024-09-10 09:16:52,890 core Successfully loaded extension "markdown.extensions.toc.TocExtension".
INFO 2024-09-10 09:42:49,939 autoreload /Users/wuyanze/Devs/Projects/DjangoProject/chances_pear/apps/project_management/models.py changed, reloading.
INFO 2024-09-10 09:42:52,157 autoreload Watching for file changes with StatReloader
INFO 2024-09-10 09:43:05,823 autoreload /Users/wuyanze/Devs/Projects/DjangoProject/chances_pear/apps/project_management/adminx.py changed, reloading.
INFO 2024-09-10 09:43:07,135 autoreload Watching for file changes with StatReloader
INFO 2024-09-10 09:46:13,745 autoreload /Users/wuyanze/Devs/Projects/DjangoProject/chances_pear/chances_pear/settings.py changed, reloading.
INFO 2024-09-10 09:46:15,795 autoreload Watching for file changes with StatReloader
INFO 2024-09-10 10:05:13,827 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-10 10:05:18,597 core Successfully imported extension module "markdown.extensions.toc".
DEBUG 2024-09-10 10:05:18,598 core Successfully loaded extension "markdown.extensions.toc.TocExtension".
INFO 2024-09-10 10:26:26,097 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-10 10:54:05,849 connectionpool Starting new HTTPS connection (1): open.feishu.cn:443
DEBUG 2024-09-10 10:54:06,022 connectionpool https://open.feishu.cn:443 "POST /open-apis/auth/v3/tenant_access_token/internal/ HTTP/1.1" 200 102
DEBUG 2024-09-10 10:54:06,026 connectionpool Starting new HTTPS connection (1): open.feishu.cn:443
DEBUG 2024-09-10 10:54:06,100 connectionpool https://open.feishu.cn:443 "GET /open-apis/approval/v4/list?page_size=10 HTTP/1.1" 404 18
DEBUG 2024-09-10 10:55:41,334 connectionpool Starting new HTTPS connection (1): open.feishu.cn:443
DEBUG 2024-09-10 10:55:41,472 connectionpool https://open.feishu.cn:443 "POST /open-apis/auth/v3/tenant_access_token/internal/ HTTP/1.1" 200 102
DEBUG 2024-09-10 10:55:41,478 connectionpool Starting new HTTPS connection (1): open.feishu.cn:443
DEBUG 2024-09-10 10:55:41,624 connectionpool https://open.feishu.cn:443 "GET /open-apis/approval/v4/instances/query?page_size=10 HTTP/1.1" 400 874
DEBUG 2024-09-10 11:01:24,297 connectionpool Starting new HTTPS connection (1): open.feishu.cn:443
DEBUG 2024-09-10 11:01:24,467 connectionpool https://open.feishu.cn:443 "POST /open-apis/auth/v3/app_access_token/internal HTTP/1.1" 200 46
DEBUG 2024-09-10 11:02:19,390 connectionpool Starting new HTTPS connection (1): open.feishu.cn:443
DEBUG 2024-09-10 11:02:19,527 connectionpool https://open.feishu.cn:443 "POST /open-apis/auth/v3/app_access_token/internal HTTP/1.1" 200 166
DEBUG 2024-09-10 11:02:19,532 connectionpool Starting new HTTPS connection (1): open.feishu.cn:443
DEBUG 2024-09-10 11:02:19,955 connectionpool https://open.feishu.cn:443 "GET /open-apis/approval/v4/instances/query?page_size=10 HTTP/1.1" 400 104
DEBUG 2024-09-10 11:12:04,497 connectionpool Starting new HTTPS connection (1): open.feishu.cn:443
DEBUG 2024-09-10 11:12:04,656 connectionpool https://open.feishu.cn:443 "POST /open-apis/auth/v3/app_access_token/internal HTTP/1.1" 200 166
DEBUG 2024-09-10 11:12:04,662 connectionpool Starting new HTTPS connection (1): open.feishu.cn:443
DEBUG 2024-09-10 11:12:04,961 connectionpool https://open.feishu.cn:443 "GET /open-apis/approval/v4/instances/query?page_size=10 HTTP/1.1" 400 104
DEBUG 2024-09-10 11:16:31,243 connectionpool Starting new HTTPS connection (1): open.feishu.cn:443
DEBUG 2024-09-10 11:16:31,378 connectionpool https://open.feishu.cn:443 "POST /open-apis/auth/v3/app_access_token/internal HTTP/1.1" 200 166
